model,dataset,enc in,history,horizon,project nodes,predict nonlinear,adj,mae mean,mae std,mse mean,mse std
NaiveEstimator,ILI,7,96,96,False,False,identity,1.6641864222944125,0.006143300047836629,5.572901434164903,0.024694845237090174
NaiveEstimator,ILI,7,96,96,False,True,identity,1.622507027198622,0.018433663199589157,5.339562031038125,0.09830269508552474
NaiveEstimator,ILI,7,96,96,True,False,identity,1.6191749195305707,0.014382399079594002,5.288208572024912,0.07576520777656798
NaiveEstimator,ILI,7,96,96,True,True,identity,1.6227202801524352,0.004773942115971549,5.292096221701955,0.027224012479501822
NaiveEstimator,ILI,7,96,96,False,False,linear,1.8092646450594887,0.0129950778703686,6.510967409482115,0.0556642742602657
NaiveEstimator,ILI,7,96,96,False,True,linear,1.6959242694287262,0.03624348578443725,5.762820924815076,0.17958609912051499
NaiveEstimator,ILI,7,96,96,True,False,linear,1.6210026665715866,0.006682863117213063,5.30623661485188,0.05927850639380685
NaiveEstimator,ILI,7,96,96,True,True,linear,1.6249225864659944,0.016723936342573548,5.297457529149745,0.13308184689809072
NaiveEstimator,ILI,7,96,96,False,False,global,1.7100361810291336,0.012646415012451145,5.819008705852839,0.07060525353750044
NaiveEstimator,ILI,7,96,96,False,True,global,1.6480315809713653,0.010923694015176006,5.432107018392271,0.07177551340131423
NaiveEstimator,ILI,7,96,96,True,False,global,1.633461614118957,0.02342050238524606,5.375549222875777,0.13789207294358063
NaiveEstimator,ILI,7,96,96,True,True,global,1.618445640602565,0.01284757837435846,5.291536793864371,0.07830733224748919
NaiveEstimator,ILI,7,96,96,False,False,directed,1.6883226206227975,0.016691551777516182,5.7052443565957915,0.05683520792579761
NaiveEstimator,ILI,7,96,96,False,True,directed,1.658902497626577,0.016585849927090616,5.458247359936808,0.09611642899345732
NaiveEstimator,ILI,7,96,96,True,False,directed,1.6241836325455772,0.011059853541442241,5.3159931985315545,0.051183344275706075
NaiveEstimator,ILI,7,96,96,True,True,directed,1.6242173072425636,0.006996477307250848,5.30030627145926,0.03892068910638019
NaiveEstimator,ILI,7,96,96,False,False,undirected,1.717566665087005,0.017938783348256517,5.743369756106493,0.13052567507764729
NaiveEstimator,ILI,7,96,96,False,True,undirected,1.675558758076463,0.013769174141357785,5.519178715583887,0.06730256874309382
NaiveEstimator,ILI,7,96,96,True,False,undirected,1.6079567972546944,0.00463477150872767,5.230773563672466,0.03258354024759811
NaiveEstimator,ILI,7,96,96,True,True,undirected,1.6185144213204765,0.007655048639970865,5.231236263140479,0.05925200348663129
NaiveEstimator,ILI,7,96,96,False,False,unidirected,1.7098834189623466,0.015911792264056687,5.71358040985683,0.07582087066194047
NaiveEstimator,ILI,7,96,96,False,True,unidirected,1.6634654477674438,0.017675949084839188,5.466583286343374,0.14143210674817655
NaiveEstimator,ILI,7,96,96,True,False,unidirected,1.6341050480314034,0.014350215424711774,5.392446833767198,0.08201203142182023
NaiveEstimator,ILI,7,96,96,True,True,unidirected,1.6252977209792345,0.004300051425795283,5.296158071229234,0.035053968088903265
